Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 2.13108 | Val Loss: 2.05278 | Train Acc: 24.752 | Val Acc: 28.450
Epoch 02: | Train Loss: 2.03206 | Val Loss: 2.01747 | Train Acc: 29.045 | Val Acc: 30.114
Epoch 03: | Train Loss: 1.99767 | Val Loss: 1.99801 | Train Acc: 30.746 | Val Acc: 30.874
Epoch 04: | Train Loss: 1.97157 | Val Loss: 1.98659 | Train Acc: 31.489 | Val Acc: 31.106
Epoch 05: | Train Loss: 1.94962 | Val Loss: 1.97545 | Train Acc: 32.335 | Val Acc: 31.709
Epoch 06: | Train Loss: 1.93063 | Val Loss: 1.96377 | Train Acc: 32.970 | Val Acc: 31.622
Epoch 07: | Train Loss: 1.91219 | Val Loss: 1.95740 | Train Acc: 33.553 | Val Acc: 31.931
Epoch 08: | Train Loss: 1.89707 | Val Loss: 1.95153 | Train Acc: 33.842 | Val Acc: 32.222
Epoch 09: | Train Loss: 1.87994 | Val Loss: 1.95942 | Train Acc: 34.395 | Val Acc: 32.597
Epoch 10: | Train Loss: 1.86566 | Val Loss: 1.95507 | Train Acc: 34.753 | Val Acc: 32.170
Epoch 11: | Train Loss: 1.84956 | Val Loss: 1.95053 | Train Acc: 35.277 | Val Acc: 32.040
Epoch 12: | Train Loss: 1.83770 | Val Loss: 1.94051 | Train Acc: 35.414 | Val Acc: 32.472
Epoch 13: | Train Loss: 1.82271 | Val Loss: 1.94733 | Train Acc: 36.013 | Val Acc: 32.725
Epoch 14: | Train Loss: 1.81063 | Val Loss: 1.94452 | Train Acc: 36.124 | Val Acc: 32.838
Epoch 15: | Train Loss: 1.79696 | Val Loss: 1.95292 | Train Acc: 36.243 | Val Acc: 32.275
Finished Training
