2021-05-11 19:46:27,115 INFO    MainThread:13588 [wandb_setup.py:_flush():69] setting env: {}
2021-05-11 19:46:27,131 INFO    MainThread:13588 [wandb_setup.py:_flush():69] setting login settings: {}
2021-05-11 19:46:27,131 INFO    MainThread:13588 [wandb_init.py:_log_setup():336] Logging user logs to C:\Users\harry\PycharmProjects\Neural-Networks-Assignment\wandb\run-20210511_194627-2ov1bnsq\logs\debug.log
2021-05-11 19:46:27,131 INFO    MainThread:13588 [wandb_init.py:_log_setup():337] Logging internal logs to C:\Users\harry\PycharmProjects\Neural-Networks-Assignment\wandb\run-20210511_194627-2ov1bnsq\logs\debug-internal.log
2021-05-11 19:46:27,131 INFO    MainThread:13588 [wandb_init.py:init():369] calling init triggers
2021-05-11 19:46:27,131 INFO    MainThread:13588 [wandb_init.py:init():374] wandb.init called with sweep_config: {}
config: {}
2021-05-11 19:46:27,131 INFO    MainThread:13588 [wandb_init.py:init():418] starting backend
2021-05-11 19:46:27,131 INFO    MainThread:13588 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=spawn, using: spawn
2021-05-11 19:46:27,138 INFO    MainThread:13588 [backend.py:ensure_launched():123] starting backend process...
2021-05-11 19:46:27,470 INFO    MainThread:13588 [backend.py:ensure_launched():127] started backend process with pid: 8624
2021-05-11 19:46:27,470 INFO    MainThread:13588 [wandb_init.py:init():423] backend started and connected
2021-05-11 19:46:27,470 INFO    MainThread:13588 [wandb_init.py:init():463] updated telemetry
2021-05-11 19:46:27,470 INFO    MainThread:13588 [wandb_init.py:init():482] communicating current version
2021-05-11 19:46:28,457 INFO    MainThread:13588 [wandb_init.py:init():487] got version response upgrade_message: "wandb version 0.10.30 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2021-05-11 19:46:28,457 INFO    MainThread:13588 [wandb_init.py:init():495] communicating run to backend with 30 second timeout
2021-05-11 19:46:28,843 INFO    MainThread:13588 [wandb_init.py:init():520] starting run threads in backend
2021-05-11 19:46:31,566 INFO    MainThread:13588 [wandb_run.py:_console_start():1507] atexit reg
2021-05-11 19:46:31,566 INFO    MainThread:13588 [wandb_run.py:_redirect():1370] redirect: SettingsConsole.WRAP
2021-05-11 19:46:31,566 INFO    MainThread:13588 [wandb_run.py:_redirect():1405] Wrapping output streams.
2021-05-11 19:46:31,566 INFO    MainThread:13588 [wandb_run.py:_redirect():1421] Redirects installed.
2021-05-11 19:46:31,566 INFO    MainThread:13588 [wandb_init.py:init():544] run started, returning control to user process
2021-05-11 19:46:31,566 INFO    MainThread:13588 [wandb_watch.py:watch():39] Watching
